"","0:>1","1:>1","0:1","1:1","p","test"
"n","   416","   281","   246","   128","",""
"Age (mean (SD))"," 60.80 (13.81)"," 62.01 (11.78)"," 63.37 (13.61)"," 63.05 (12.33)"," 0.072",""
"Sex = 2 (%)","   181 (43.5) ","   115 (40.9) ","    95 (38.6) ","    48 (37.5) "," 0.511",""
"vitalstatus = 1 (%)","   328 (78.8) ","   249 (88.6) ","   135 (54.9) ","    88 (68.8) ","<0.001",""
"ECOG PS (%)","   ","   ","   ","   ","<0.001",""
"   0","   129 (34.4) ","    73 (28.0) ","   122 (52.8) ","    56 (45.9) ","",""
"   1","   166 (44.3) ","   127 (48.7) ","    85 (36.8) ","    49 (40.2) ","",""
"   2","    69 (18.4) ","    50 (19.2) ","    21 ( 9.1) ","    10 ( 8.2) ","",""
"   >2","    11 ( 2.9) ","    11 ( 4.2) ","     3 ( 1.3) ","     7 ( 5.7) ","",""
"Cancer (%)","   ","   ","   ","   ","<0.001",""
"   melanoma","    92 (22.1) ","    54 (19.2) ","   128 (52.0) ","    62 (48.4) ","",""
"   non-small cell lung cancer","    81 (19.5) ","    59 (21.0) ","    41 (16.7) ","    24 (18.8) ","",""
"   Other","   243 (58.4) ","   168 (59.8) ","    77 (31.3) ","    42 (32.8) ","",""
"Staging (%)","   ","   ","   ","   "," 0.001",""
"   2","     1 ( 0.3) ","     0 ( 0.0) ","     0 ( 0.0) ","     0 ( 0.0) ","",""
"   3","    31 ( 8.2) ","    16 ( 6.0) ","    43 (17.7) ","    15 (12.1) ","",""
"   4","   332 (87.6) ","   247 (92.5) ","   195 (80.2) ","   107 (86.3) ","",""
"   Unknown","    15 ( 4.0) ","     4 ( 1.5) ","     5 ( 2.1) ","     2 ( 1.6) ","",""
"Immunotherapy (%)","   ","   ","   ","   ","<0.001",""
"   PD1/L1","   328 (78.8) ","   219 (77.9) ","   135 (54.9) ","    69 (53.9) ","",""
"   CTLA4","    51 (12.3) ","    41 (14.6) ","    65 (26.4) ","    37 (28.9) ","",""
"   PD1/L1 + CTLA4","    18 ( 4.3) ","    12 ( 4.3) ","    33 (13.4) ","    17 (13.3) ","",""
"   Other","    19 ( 4.6) ","     9 ( 3.2) ","    13 ( 5.3) ","     5 ( 3.9) ","",""
"Chemo_prior (mean (SD))","  0.79 (0.41)","  0.79 (0.41)","  0.06 (0.24)","  0.14 (0.35)","<0.001",""
"follow_up_time (median [IQR])","304.00 [119.75, 920.00]","274.00 [94.00, 627.00]","879.00 [238.25, 1315.75]","416.50 [171.75, 1201.00]","<0.001","nonnorm"
