"","0","1","p","test"
"n","   192","    84","",""
"Age (mean (SD))"," 63.14 (10.00)"," 63.20 (12.06)"," 0.965",""
"Sex = 2 (%)","    83 (43.2) ","    35 (41.7) "," 0.913",""
"vitalstatus = 1 (%)","   150 (78.1) ","    68 (81.0) "," 0.711",""
"ECOG PS (%)","   ","    "," 0.288",""
"   0","    36 (19.1) ","    13 (15.5) ","",""
"   1","   109 (58.0) ","    43 (51.2) ","",""
"   2","    40 (21.3) ","    27 (32.1) ","",""
"   >2","     3 ( 1.6) ","     1 ( 1.2) ","",""
"Immunotherapy (%)","   ","    "," 0.639",""
"   Other","     5 ( 2.6) ","     2 ( 2.4) ","",""
"   PD1/L1","   183 (96.3) ","    81 (97.6) ","",""
"   PD1/L1 + CTLA4","     2 ( 1.1) ","     0 ( 0.0) ","",""
"Chemo_prior = yes (%)","    32 (16.7) ","    17 (20.2) "," 0.587",""
"follow_up_time (median [IQR])","613.00 [192.50, 1578.00]","570.50 [136.50, 1424.75]"," 0.356","nonnorm"
