"","0","1","p","test"
"n","   665","   413","",""
"Age (mean (SD))"," 59.74 (13.80)"," 60.88 (11.82)"," 0.164",""
"Sex = 2 (%)","   275 (41.4) ","   163 (39.5) "," 0.583",""
"vitalstatus = 1 (%)","   470 (70.7) ","   344 (83.3) ","<0.001",""
"ECOG PS (%)","   ","   "," 0.012",""
"   0","   273 (42.3) ","   137 (33.5) ","",""
"   1","   266 (41.2) ","   189 (46.2) ","",""
"   2","    92 (14.2) ","    64 (15.6) ","",""
"   >2","    15 ( 2.3) ","    19 ( 4.6) ","",""
"Cancer (%)","   ","   "," 0.105",""
"   melanoma","   226 (34.0) ","   116 (28.1) ","",""
"   non-small cell lung cancer","   109 (16.4) ","    80 (19.4) ","",""
"   Other","   330 (49.6) ","   217 (52.5) ","",""
"Staging (%)","   ","   "," 0.033",""
"   2","     1 ( 0.2) ","     0 ( 0.0) ","",""
"   3","    75 (12.0) ","    31 ( 7.9) ","",""
"   4","   528 (84.5) ","   357 (90.6) ","",""
"   Unknown","    21 ( 3.4) ","     6 ( 1.5) ","",""
"Immunotherapy (%)","   ","   "," 0.831",""
"   CTLA4","   121 (18.2) ","    77 (18.6) ","",""
"   Other","    28 ( 4.2) ","    13 ( 3.1) ","",""
"   PD1/L1","   465 (69.9) ","   293 (70.9) ","",""
"   PD1/L1 + CTLA4","    51 ( 7.7) ","    30 ( 7.3) ","",""
"Chemo_prior = yes (%)","   351 (52.8) ","   242 (58.6) "," 0.071",""
"follow_up_time (median [IQR])","451.00 [151.00, 1182.00]","308.00 [105.00, 792.00]","<0.001","nonnorm"
