"","N","Y","p","test"
"n","4","3","",""
"Gender = Male (%)","2 (50.0) ","3 (100.0) "," 0.546",""
"VitalStatus = 1 (%)","2 (50.0) ","0 (  0.0) "," 0.546",""
"ECOG (%)","",""," 0.459",""
"   0","2 (50.0) ","1 ( 33.3) ","",""
"   1","1 (25.0) ","2 ( 66.7) ","",""
"   2","1 (25.0) ","0 (  0.0) ","",""
"Immunotherapy (%)","",""," 0.388",""
"   Nivo + Ipi","0 ( 0.0) ","1 ( 33.3) ","",""
"   Pembrolizumab monotherapy","3 (75.0) ","1 ( 33.3) ","",""
"   Pembrolizumab, Carboplatin, Pemetrexed","1 (25.0) ","1 ( 33.3) ","",""
