"","0:0","1:0","0:1","1:1","p","test"
"n","   304","   162","   316","   227","",""
"Age (mean (SD))"," 63.12 (13.67)"," 63.23 (12.55)"," 61.01 (14.30)"," 61.91 (11.74)"," 0.167",""
"Sex = 2 (%)","   122 (40.1) ","    66 ( 40.7) ","   136 (43.0) ","    89 ( 39.2) "," 0.815",""
"vitalstatus = 1 (%)","   179 (58.9) ","   117 ( 72.2) ","   255 (80.7) ","   204 ( 89.9) ","<0.001",""
"ECOG PS (%)","   ","   ","   ","   ","<0.001",""
"   0","   139 (49.8) ","    60 ( 39.5) ","    91 (31.7) ","    64 ( 29.8) ","",""
"   1","   103 (36.9) ","    59 ( 38.8) ","   134 (46.7) ","   108 ( 50.2) ","",""
"   2","    29 (10.4) ","    23 ( 15.1) ","    56 (19.5) ","    36 ( 16.7) ","",""
"   >2","     8 ( 2.9) ","    10 (  6.6) ","     6 ( 2.1) ","     7 (  3.3) ","",""
"Staging (%)","   ","   ","   ","   "," 0.001",""
"   2","     0 ( 0.0) ","     0 (  0.0) ","     1 ( 0.3) ","     0 (  0.0) ","",""
"   3","    49 (16.6) ","    14 (  8.9) ","    20 ( 6.9) ","    16 (  7.4) ","",""
"   4","   240 (81.4) ","   143 ( 90.5) ","   255 (88.5) ","   197 ( 91.2) ","",""
"   Unknown","     6 ( 2.0) ","     1 (  0.6) ","    12 ( 4.2) ","     3 (  1.4) ","",""
"Immunotherapy (%)","   ","   ","   ","   ","<0.001",""
"   PD1/L1","   172 (56.6) ","    93 ( 57.4) ","   252 (79.7) ","   177 ( 78.3) ","",""
"   CTLA4","    80 (26.3) ","    47 ( 29.0) ","    37 (11.7) ","    31 ( 13.7) ","",""
"   PD1/L1 + CTLA4","    39 (12.8) ","    16 (  9.9) ","    11 ( 3.5) ","    13 (  5.8) ","",""
"   Other","    13 ( 4.3) ","     6 (  3.7) ","    16 ( 5.1) ","     5 (  2.2) ","",""
"Therapy = 1 (%)","   221 (73.4) ","   105 ( 64.8) ","    14 ( 4.4) ","    17 (  7.5) ","<0.001",""
"ppi = 1 (%)","     0 ( 0.0) ","   162 (100.0) ","     0 ( 0.0) ","   227 (100.0) ","<0.001",""
"follow_up_time (median [IQR])","796.50 [238.75, 1312.75]","411.00 [150.25, 1194.00]","254.00 [94.00, 732.50]","252.00 [92.50, 548.50]","<0.001","nonnorm"
