"","0:>1","1:>1","0:1","1:1","p","test"
"n","   414","   279","   243","   127","",""
"Age (mean (SD))"," 60.83 (13.84)"," 62.01 (11.81)"," 63.24 (13.69)"," 63.15 (12.34)"," 0.094",""
"Sex = 2 (%)","   180 (43.5) ","   115 (41.2) ","    95 (39.1) ","    47 (37.0) "," 0.522",""
"vitalstatus = 1 (%)","   328 (79.2) ","   248 (88.9) ","   133 (54.7) ","    87 (68.5) ","<0.001",""
"ECOG PS (%)","   ","   ","   ","   ","<0.001",""
"   0","   127 (34.0) ","    72 (27.8) ","   120 (52.6) ","    56 (46.3) ","",""
"   1","   166 (44.5) ","   126 (48.6) ","    84 (36.8) ","    48 (39.7) ","",""
"   2","    69 (18.5) ","    50 (19.3) ","    21 ( 9.2) ","    10 ( 8.3) ","",""
"   >2","    11 ( 2.9) ","    11 ( 4.2) ","     3 ( 1.3) ","     7 ( 5.8) ","",""
"Staging (%)","   ","   ","   ","   ","<0.001",""
"   2","     1 ( 0.3) ","     0 ( 0.0) ","     0 ( 0.0) ","     0 ( 0.0) ","",""
"   3","    30 ( 8.0) ","    16 ( 6.0) ","    44 (18.3) ","    15 (12.1) ","",""
"   4","   331 (87.8) ","   245 (92.5) ","   191 (79.6) ","   107 (86.3) ","",""
"   Unknown","    15 ( 4.0) ","     4 ( 1.5) ","     5 ( 2.1) ","     2 ( 1.6) ","",""
"Immunotherapy (%)","   ","   ","   ","   ","<0.001",""
"   CTLA4","    51 (12.3) ","    41 (14.7) ","    66 (27.2) ","    37 (29.1) ","",""
"   Other","    19 ( 4.6) ","     9 ( 3.2) ","    11 ( 4.5) ","     4 ( 3.1) ","",""
"   PD1/L1","   326 (78.7) ","   216 (77.7) ","   133 (54.7) ","    69 (54.3) ","",""
"   PD1/L1 + CTLA4","    18 ( 4.3) ","    12 ( 4.3) ","    33 (13.6) ","    17 (13.4) ","",""
"Chemo_prior (mean (SD))","  0.79 (0.41)","  0.79 (0.41)","  0.06 (0.24)","  0.14 (0.35)","<0.001",""
"follow_up_time (median [IQR])","302.00 [119.25, 879.75]","270.00 [89.00, 605.50]","883.00 [237.00, 1321.50]","419.00 [170.50, 1203.00]","<0.001","nonnorm"
